image_name,comment,label
2849169944.jpg,"Three women in fedoras , dark brown shawls , and long brown skirts stand on a brick walkway with a seated dog .",animal
2497608431.jpg,A man prepares to throw a stick intended for a black dog in front of him to fetch .,animal
5508398736.jpg,"A bunch of people are watching a man with his left arm wrapped around the legs of his downed , struggling wrestling opponent on a blue mat .",human
2354914661.jpg,Many people gather outside a busy freeway .,human
2557059247.jpg,A woman with white hair chisels at an uncompleted sculpture .,human
4888309413.jpg,young boy in black shirt sits on mothers shoulders,human
396179143.jpg,The small dog on the leash is walking through the snow .,animal
3360178782.jpg,A group of people look at fresh lettuce in at the local street market .,human
5822447877.jpg,A young boy and girl in swimsuits are playing with a volleyball at the beach .,human
2853451727.jpg,A guy in a black shirt jumps into the air on a walking bridge .,human
3283626303.jpg,Four boys in water are hanging on to the concrete ledge .,human
4622064391.jpg,A golden retriever puppy stands in front of two people looking over a railing .,human
373394550.jpg,A small child sucks his thumb while sleeping with a pink blanket on a multicolored seat .,human
4811949932.jpg,A young boy in a green hooded shirt pulling a yellow and black suitcase behind him .,human
482642539.jpg,a Young child holds on to a post with his face pressed against it .,human
652542470.jpg,Kid sits wearing swim gear .,human
4360988503.jpg,People walking their dogs at a dog show being viewed by a large crowd at the American Kennel Club .,animal
231439338.jpg,A man in a blue shirt and jeans feeding material into industrial machinery .,human
2190137367.jpg,A man tries to get a toy away from a small dog .,animal
3704431444.jpg,A dog running in the surf .,animal
6192034820.jpg,Someone in Asian costume is sitting down and holding a sword .,human
311380477.jpg,A man with a mohawk is sweeping a skate park .,human
4718118294.jpg,women talking in the market,human
4705826062.jpg,A man wearing a gray shirt and backpack eating an ice cream cone while a women in an orange shirt stands next to him .,human
1363843090.jpg,A dog drags a white rag through an almost-dried up creek .,animal
522652105.jpg,A little girl plays in a pit of colorful balls .,human
4567351269.jpg,A man is wearing a red clown nose while standing outside and talking to another man .,human
518230621.jpg,A man in a brown sweater is standing by a machine holding a paper item in his hands .,human
3265864834.jpg,A brown dog making a funny face while standing on a beach .,animal
1932161768.jpg,a small dog steps onto a log .,animal
1056873310.jpg,Two dogs run towards each other on a rocky area with water in the background .,human
2736263527.jpg,A man and woman dig up dirt and have a plant near them .,human
717673249.jpg,two white dogs play in the grass .,human
2463067409.jpg,A dog runs through the grass towards the camera .,animal
4725480987.jpg,A man in a cap holds a vuvuzela horn and waves a large red & green flag adorned with a crest .,human
2982928615.jpg,A golden dog is running on the grass .,animal
3239260246.jpg,These people are gathered together for a meeting .,human
3381746410.jpg,"A dad and his son , both in green , smile in a field of flowers .",human
3523474077.jpg,a man holding a digital camera standing outside of a huge building .,human
4554488264.jpg,Two women are sitting in a cart while a man pulls them .,human
5319228272.jpg,Two heavily dressed people are preparing to make tea in the snow by a campfire .,human
311267421.jpg,A black and white and a brown and white dog running in a grassy field in front of a stand of trees .,animal
2232822316.jpg,A man and woman stand at a stall in the street during the day .,human
4031301793.jpg,Young Asian individuals walking in a busy city street .,human
4688301633.jpg,A surgeon is performing an open surgery .,human
3397220683.jpg,The man is skiing in the snow with a large brown dog .,animal
426191845.jpg,A dog is running in the dirt and snow .,animal
3624076529.jpg,A dog holding a stick swims in the water .,animal
2746839158.jpg,Two boys in underwear play in the water in the city street .,human
4883101538.jpg,An informal outdoor gathering of people around a table .,human
453756106.jpg,Bigg playing with little dog in dirt .,animal
519259595.jpg,A girl is riding on a tube that is being pulled by a boat .,human
1019077836.jpg,A brown dog running on a lawn near a garden hose,animal
2847633529.jpg,"A couple , sitting and holding each other , look at an ocean view .",human
2337578794.jpg,Many individuals are waiting patiently for the line to go down to enter this building .,human
114941694.jpg,Man is orange hoodie doing a skateboard trick .,human
3647750811.jpg,a black and white dog is wearing a red collar whilst walking on the grass .,animal
3139287876.jpg,A man and woman are among others who are dancing during a street parade .,human
140377584.jpg,Downward view of a man with an orange helmet climbing a rock .,human
3640020134.jpg,A black dog runs into the water at the beach .,animal
3419634480.jpg,A black dog running across green grass .,animal
4548082171.jpg,"Three young girls in ballet class , two raising their hands .",human
3472485022.jpg,The large brown dog is running through the grass with a large stick in its mouth .,animal
4718950442.jpg,A man sets up a video camera before a football game .,human
458735196.jpg,"A brown dog indoors , with a large pink toy .",animal
1247484195.jpg,A little girl wearing a yellow dress moves frantically in front of a crowded baseball stadium .,human
453473508.jpg,a brown dog jumping in a stoney brook .,animal
3205010608.jpg,A man in a black cowboy hat loads something onto a horse .,animal
3064716525.jpg,A dog leaping over a hurdle .,animal
3623650392.jpg,a brown dog standing in the middle of a huge field .,animal
2775461796.jpg,Crowds peddle their bikes across a city street .,human
2234018985.jpg,A dog is on a leash in a room that is filled with shadows .,animal
3437034427.jpg,Young girls are playing musical instruments .,human
3465353601.jpg,There is a young male using a desktop computer and a lady smiling and watching him .,human
2939116460.jpg," Blond-haired girl wearing a bicycle helmet , a black t-shirt that reads "" Twizzlers "" and a printed dog tag necklace around her neck .",animal
79737352.jpg,A woman picking up a couple plates of food from the table .,human
2936693681.jpg,A little girl is pushing her scooter through a grassy tree lined field .,human
3557148230.jpg,A toddler looking behind him while standing on a red tricycle .,human
6802728196.jpg,Two female children are in a bath together .,human
2446842020.jpg,A lady dressed as an angel playing with children .,human
463246331.jpg,Two asian women working in a restaurant prepare meals .,human
746787916.jpg,Small show dog just ran through an orange flexible tube .,animal
4656684238.jpg,Numerous people interacting with two elephant statues .,animal
522700240.jpg,The dog is sleeping on top of the bed covered by the blue sheet .,animal
4512128247.jpg,A man in a green hat sitting on a bench .,human
531261613.jpg,Group of horse riders travel through the woods .,animal
311267421.jpg,Two dogs are running in a grassy field .,human
1163297375.jpg,Blond woman driving a red bicycle carriage holds the tip of her hat and poses for the camera with a customer seated in the back .,human
2970450682.jpg,this man is works harder than most people in the world .,human
2896483502.jpg,A dog catching a Frisbee .,animal
1011572216.jpg,A couple getting married .,human
2029546318.jpg,An asian man in a camouflage jacket and another in a black jacket are filleting a fish on top of a bowl in a stainless steel tub .,human
4296373889.jpg,"Two men walk in the park , one with a shaggy dog on a leash and a device for cleaning up canine droppings .",animal
3208725027.jpg,Plenty of children in red robes staying together in multiple circles .,human
3195701071.jpg,"A red dog , jumping in midair , on a grassy backyard , shot from behind .",animal
3284887033.jpg,A sandy brown dog is playing with a soccer ball outside .,animal
3920626767.jpg,A man in a red costume jacket is riding a white horse on dirt ground .,animal
3909552008.jpg,Three men are working on telephone lines .,human
260850192.jpg,A person is squeezing through an opening in the rock face .,human
3393394134.jpg,Dog on its back rolling around in the grass .,animal
4827151208.jpg,A young man in a tank top looking back at a woman near a fountain .,human
4649735839.jpg,Man with Adidas gym bag walking down sidewalk .,human
3668244651.jpg,"Two women , a man reading a red shirt and two children washing a baby doll .",human
2853205396.jpg,A white and black dog leaps into water .,animal
290019324.jpg,A dog is running .,animal
536721406.jpg,A bull runs from an aggressive dog behind him .,animal
468911753.jpg,A brown and white dog runs away carrying a big stick .,animal
431664339.jpg,A man wearing a white hat is sitting is sitting a horse drawn cart on the street .,animal
3862675867.jpg,A large crowd of people are congregated between a busy street and a tall building .,human
3043908909.jpg,a woman is being videotaped whilst giving a presentation to a group of people .,human
2554586230.jpg,A girl in red t-shirt standing on a branch of a tree .,human
3322443827.jpg,This man is smoking outside .,human
5371586024.jpg,In a kitchen of a restaurant they are making preparing pizza dove .,human
3088572348.jpg,A man wakeboards in the water .,human
4769459188.jpg,A man in a black NFL jersey holds a large pile of PS3 games while a man holds a boom mike over him with a crowd in the background that includes a man in a large dog costume .,animal
2632366677.jpg,A brown dog next to a stone bench .,animal
3344531479.jpg,The tennis player holds his racket in preparation for the ball .,human
432248727.jpg,A brown dog is crouching and looking up in a field of grass .,animal
2583217692.jpg,A woman wearing a white bikini top is being helped by a man to cross an expanse of water .,human
1287982439.jpg,A dog with a collar running through the water,animal
3402638444.jpg,Six young people are posing for a photograph on a subway train .,human
2943772984.jpg,Two people on cellphones walk down the sidewalk while a vendor stands there and a man is eating .,human
1377428277.jpg,"A man , a woman with a child in a stroller on a crowded street .",human
1525153022.jpg,The dog runs through the water .,animal
2433178831.jpg,A man wearing a green jacket and ear protection stands on the street .,human
756004341.jpg,Two young children wearing sunglasses,human
5440115287.jpg,two people ( man and woman in their late twenties or early thirties ) on stage with a synthesizer and microphone .,human
5479752383.jpg,A man cutting ice blocks or making a sculpture and people looking on .,human
432490118.jpg,The large brown and white dog is jumping towards the small brown and white dog .,animal
4855357158.jpg,A person is carrying their white canoe down a rocky trail while a black dog in a red collar watches .,animal
1918573100.jpg,A black and white dog balances on a wooden plank .,animal
3551170666.jpg,A white dog nurses her pups .,animal
4934467462.jpg,"In a busy Asian city , two women walk and talk together .",human
4872454115.jpg,People gathering near the front of a house with a wall that has a picture of a man riding a horse .,animal
865789346.jpg,Two people stopping to admire a lake during a bike ride .,human
213609234.jpg,Two girls and a boy are walking across an intersection .,human
3971425242.jpg,There is a man singing and a guy playing guitar in front of a crowd .,human
3480126681.jpg,Black dog with white paws runs on barren field,animal
1094462889.jpg,A dog looking at the camera in snow .,animal
2536434720.jpg,A man in a green robe rides a white horse across a sandy floor .,animal
4761370497.jpg,People walk up and down a hallway with advertisements on the wall .,human
3454092588.jpg,Older man looks on in construction site .,human
3048461682.jpg,A white dog running in the fallen leaves .,animal
3519483468.jpg,An artist working on a drawing of a little boy .,human
2331827016.jpg,Rider riding horse as it jumps over a fence .,animal
2663272259.jpg,A boy in a black vest holds two elephant tusks to his face in a store .,animal
2580883993.jpg,A young child on a rock climbing wall .,human
3338082262.jpg,A man is splashing water from a bucket on a group of plants and leaves .,human
2450486758.jpg,A large crowd of people are sitting watching a dog jump high up to catch a Frisbee with a man standing under the dog looking up at it .,animal
7519792774.jpg,A soldier letting a child hold a gun while the child wears his helmet and vest .,human
1469138762.jpg,Two women are walking along a trail on a sunny day .,human
3816820298.jpg,A man riding a horse is chasing after a young cow with a lasso .,animal
4930796789.jpg,A man is herding horned cows on a horse .,animal
524282699.jpg,A black dog and a golden dog approaching one another .,animal
4923601195.jpg,A man carrying many things walking across a shadowy street with construction cones .,human
5902806140.jpg,A man in an american flag costume at a fair .,human
7430272380.jpg,A straining man wearing a gray shirt is throwing a javelin with great force .,human
2867736861.jpg,Yellow dog catches ball in shallow waters .,animal
4591294546.jpg,There is a woman in a funny looking hat talking to people .,human
2135502491.jpg,St Bernard dog running in the snowy field .,animal
356929855.jpg,A dog swimming in a lake has sunshine shining on him .,animal
269898428.jpg,A person with an electric drill doing something to a toy animal .,human
3711611500.jpg,The black dog is wearing a red collar and is jumping into the water after a Frisbee .,animal
2240539658.jpg,Two large dogs play together in the snow .,human
3228793611.jpg,Dog digs in sand,animal
6745586595.jpg,A man in a black and white uniform is playing ice hockey .,human
301608837.jpg,a toddler in a white sweatshirt is getting ready to grab the pole .,human
2067833088.jpg,"a man in camouflage hiking gear , wearing a green pouch is standing in the foothills .",human
4647056741.jpg,A lady is riding down the road on a motorcycle with a person with a white helmet .,human
424416723.jpg,a brown dog is leaping into the air in front of a wooden structure in a pine forest .,animal
3435208408.jpg,Ethnic dancers perform in unison .,human
101654506.jpg,A dog running through snow .,animal
2347251375.jpg,A man is jumping on a sheet of ice near a lake with a video camera in his hand .,human
511749704.jpg,A little boy in red skateboarding .,human
1019604187.jpg,A white dog is about to catch a yellow dog toy .,animal
2176364472.jpg,A brown lab dog runs over an obstacle on a course .,animal
2518508760.jpg,A muzzled race dog running,animal
4809690215.jpg,A woman walking down the street away from an ice cream truck .,human
2720215226.jpg,A black dog with a ribbon on is standing in front of some other award ribbons .,animal
6517810397.jpg,A boy writes a letter to Santa .,human
3817024841.jpg,Three people sit together on a couch in a house while two others stand off to the sides .,human
4876860378.jpg,A smiling man in a pink striped shirt sits behind a flower stand and in front of an assortment of many bags and containers .,human
3474330484.jpg,"A dog 's head is tilted back , and he appears to be looking at an insect flying by .",animal
2228381169.jpg,A man in black stands side by side with a white dog .,animal
861661418.jpg,A puppy with big ears chewing on a stick .,human
514222303.jpg,A young girl balances on a rope ladder outside .,human
3051600747.jpg,A wedding party standing on an indoor balcony as the bride and groom kiss .,human
4609788189.jpg,Kid in hoodie jumps a ramp .,human
5739332706.jpg,A man stands at the edge of the water on a beach looking into the horizon .,human
2112921744.jpg,A dog stands on the side of a grassy cliff .,animal
4967237527.jpg,Two young men wearing camouflage stand in the grass .,human
7253781238.jpg,A girl is performing a skateboarding maneuver .,human
783353797.jpg,A woman in white is pointed at by a sign on the road saying look right .,human
2385079235.jpg,A person in a blue jacket walking down the street .,human
1526325728.jpg,A gray colored dog walks in wet sand at a beach .,animal
3249278583.jpg,A team of dogs pulls a sleigh holding two people across the snow .,human
263491786.jpg,Two men stand at the mid-way division of a city road .,human
6953343058.jpg,A man checks his phone while sitting on a stone bench .,human
34176632.jpg,A man is sleeping on the floor with a sleeping dog across his chest .,animal
524787268.jpg,"Two men sit on a park bench , watching the river roll by , as a dog stands off to the side .",animal
3228793611.jpg,The brown dog is digging in the dirt .,animal
15875060.jpg,A boy with no shirt and a volleyball in his hand .,human
87761964.jpg,Seven men standing on some type of pyramid shaped object by the water .,human
3473742715.jpg,"Two gentlemen , one white , one black , sitting behind a reception desk in a building that has granite counters and wood decked walls .",human
537532165.jpg,girl hanging upside down on blue monkey bars,animal
1921398767.jpg,A dog walking on a beach,animal
4517839686.jpg,A baseball player is catching or attempting to catch the baseball during a baseball game .,human
4762649269.jpg,People are sitting on a park bench while there are 3 pictures visible in the foreground .,human
136399365.jpg,A man paint spattered clothing talks on a mobile phone .,human
3614269018.jpg,A young man in a yellow rain suit stands beneath a street lamp .,human
1019077836.jpg,A dog is playing with a hose .,animal
963730324.jpg,A small boy wearing a white shirt pushes a gray shopping cart .,human
470903027.jpg,A person wearing a hat sits on the grass with a mountain behind him .,human
1508269285.jpg,The dog stands in the water next to the grass .,animal
